,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
313TT,Textile mills and textile product mills,121,75,...,2,...,...,"3,713",558,357,...,1,831,1,0,"3,655","2,049","4,062","2,269",238,"9,147","1,484","4,146",285,36,3,"3,179","3,658",86,141,"4,012","1,919",...,...,127,31,...,1,111,10,2,200,9,7,...,...,...,...,1,228,243,...,...,516,22,134,190,57,78,463,"2,338","1,596",0,631,"2,198",355,939,"1,496",431,6,"2,811",18,"61,273","67,219",...,"6,896",...,"2,235",-316,"11,110","-31,928",...,...,...,...,...,...,108,...,...,...,40,...,"55,363","116,636"
315AL,Apparel and leather and allied products,60,...,...,...,...,0,...,...,1,...,...,...,...,...,"2,165",...,...,145,22,273,"1,278",...,"2,278",14,...,1,856,80,3,432,377,...,...,...,...,...,...,...,...,87,23,679,0,...,...,...,...,...,...,120,...,...,28,9,223,133,117,57,72,...,637,134,40,15,186,"2,321",295,65,82,"2,820",39,"16,165","413,131",...,...,...,...,188,"6,224","-142,089",...,...,...,...,...,...,...,...,...,...,...,...,"277,453","293,619"
322,Paper products,587,0,45,158,78,35,"3,570","1,144","1,947","1,415","2,290","2,537",800,"1,329","4,663",913,"1,705","2,285","26,699",396,21,"53,173","11,697",365,"7,474","4,916","8,166",227,"1,441",514,"1,646",29,52,7,260,"1,027",42,"2,706",318,"1,919",69,522,227,"1,630",425,470,2,1,"1,391","1,345",489,679,"3,414",567,"5,898",406,302,"1,765","2,015","1,135","1,334",90,179,"4,293","4,976","1,231",178,"2,541",201,"11,345",34,"197,752","59,714",...,...,...,...,912,"24,516","-22,553",...,...,...,...,...,...,...,...,...,...,...,...,"62,590","260,342"
323,Printing and related support activities,16,...,5,2,...,12,51,6,...,...,14,9,...,3,5,...,...,...,65,...,1,...,"1,563",3,285,...,"13,363",295,216,236,"6,269",9,13,...,265,114,5,324,20,"5,085",473,628,"3,891","1,580","1,271","4,087",...,...,208,532,"1,025",443,"6,080","1,243","3,497",20,918,"1,883","3,150",145,"2,635",919,244,"1,174","1,058","2,065",587,"1,805",58,"8,554",514,"78,941","8,499",...,...,...,...,313,"2,297","-2,600",...,...,...,...,...,...,...,...,...,...,...,...,"8,508","87,450"
324,Petroleum and coal products,"11,791",584,"3,364","4,486","3,043","15,664","56,863","1,159",745,"1,488","1,203",993,224,693,584,275,336,950,"3,131",88,5,"1,860",677,"19,758","14,277",871,"6,390","1,356",651,393,"2,385","27,736","6,633","6,864","35,775","3,744",115,"11,903","6,424",270,90,677,740,"9,290","3,970",43,"1,619",84,"8,391","2,461",69,"1,815","2,360","1,141","6,392","2,011","1,459",971,"1,606",945,663,241,942,"1,213","4,463","3,221","11,646","1,652","2,094","79,206","27,083","434,310","324,184",...,...,...,...,"-7,675","99,910","-52,749",...,...,...,...,...,...,...,...,...,...,...,...,"363,670","797,980"
325,Chemical products,"32,336","2,665","4,726","2,387","2,267","2,468","18,962","3,817","4,702","2,121","7,632","3,546","3,055","2,949","12,762","2,304","2,646","7,417","8,741","13,108",141,"11,698","4,996","36,629","245,092","74,189","2,546",164,74,66,"1,256",2,311,12,311,28,3,164,820,779,216,946,661,142,125,72,...,704,"14,343",116,267,374,"16,877","1,093","10,190","2,247",976,"44,291","24,624","3,658",737,629,"1,206",93,"1,226","6,125","7,619","3,613",96,"38,564","3,344","705,067","554,972",...,"1,628",...,...,"12,734","182,492","-239,082",...,...,...,...,...,...,...,...,...,...,...,...,"512,744","1,217,811"
326,Plastics and rubber products,"2,056",109,65,"1,811",872,42,"47,299","1,372","1,318",553,"2,563","13,357","3,587","2,632","24,541","5,451","4,756","5,935","23,070",425,103,"3,233","3,111",605,"13,390","21,656","22,161","2,087","2,102",583,"5,166",487,6,0,"1,234",96,79,"3,359",390,412,88,"6,149",412,100,117,410,0,19,810,"2,007",42,"2,533","7,436",138,"3,166",492,730,"10,718","3,985","1,983","1,555",52,299,195,"8,938","6,574","2,130","1,004",31,"10,141","3,781","298,109","72,246",...,564,...,290,"2,257","29,402","-51,633",...,...,...,...,...,...,60,...,...,...,...,...,"53,186","351,295"
42,Wholesale trade,"1,825",10,162,52,...,"1,348",78,212,320,794,883,"1,915","1,195","1,756","2,933",63,427,"1,762","3,828",101,16,"1,176",140,124,"4,633","2,944","40,695","2,496",729,27,"11,772",167,...,...,89,...,5,...,...,659,11,"2,016",49,16,26,65,6,...,...,"10,763",...,400,...,...,72,28,29,68,24,...,...,...,45,...,43,60,...,...,5,24,...,"99,083",...,...,...,...,...,...,"2,385","38,513",...,...,...,...,...,...,...,...,...,...,...,...,"40,898","139,981"
4A0,Other retail,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,338,...,401,298,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,"1,036","5,974",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,974","7,010"
481,Air transportation,...,...,1,14,340,"1,276",421,124,255,178,486,345,70,32,248,140,157,203,516,23,3,170,227,121,300,442,"10,321",275,67,93,397,322,25,224,"3,552",48,3,"1,619",518,644,217,876,"2,062","7,130","3,554",156,804,18,"14,885","1,527","1,266","4,840","5,841",547,"6,010",593,999,"3,164",361,359,705,171,236,244,"2,047","1,011","5,851","4,138",380,"4,110",86,"98,387","129,785",...,...,...,...,...,"42,609","-45,443",...,...,...,...,...,...,...,...,...,...,...,...,"126,950","225,337"
