"The Use of Commodities by Industries, Before Redefinitions (Purchasers' Prices) - Summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
524,Insurance carriers and related activities,"3,293","1,005","5,251","1,567","6,496",606,464,251,987,"1,040","1,124","1,762",585,913,"1,000","1,029",466,642,"3,415",463,223,458,128,238,"2,383",714,"20,771","1,193",992,852,"4,111",523,23,465,"8,607","1,150",536,"1,613","2,168",418,989,"1,716",663,"5,646","12,948","312,494","5,004",492,"27,651","5,187","3,449",935,"6,332",247,"4,253",764,"1,269","9,030","41,560","1,800","3,089","1,179",993,"1,187","2,718","2,595",0,"1,022","1,815","1,489","6,284","544,728","296,669",...,...,...,"5,936",...,"16,539","-58,218",...,...,...,...,...,...,...,...,...,...,...,...,"260,926","805,653"
525,"Funds, trusts, and other financial vehicles",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"6,225","8,273",...,...,...,...,...,...,15,...,...,...,...,...,...,...,...,...,...,...,...,...,77,...,"1,429",...,"16,019","123,718",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"123,718","139,737"
HS,Housing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,720,652",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,720,652","1,720,652"
ORE,Other real estate,"28,472",71,886,85,190,"2,741","10,065",697,721,400,"2,995","1,310","2,222",346,"1,090","3,072","1,505",949,"1,802",595,349,858,"1,287",108,"2,494","1,689","53,390","9,097","11,891","8,252","55,260",410,121,243,"3,274",417,309,"2,426","14,445","5,751","2,985","15,428","5,495","19,469","17,814","16,586",625,546,"105,099","8,944","19,919","4,682","36,968","17,949","11,268","1,764","28,630","46,343","28,378","21,090","15,053","6,887","9,916","1,462","39,856","39,752","3,692","9,350","1,388","37,446","3,653","810,721","5,302","14,605",...,...,"82,652",...,"3,468",...,...,...,...,...,...,...,...,...,...,...,...,...,"106,027","916,747"
532RL,Rental and leasing services and lessors of intangible assets,"3,164",149,"4,355","1,690","3,681","1,057","13,982",255,701,953,"1,938","1,905",533,643,"2,179","1,585",261,"1,721","3,050",112,56,740,545,"1,233","3,633",853,"24,632",545,"1,473","2,287","6,408","8,234","3,565",346,"6,998",605,157,"1,640",907,"2,492","2,309","10,833","6,120","5,088","6,108","2,687",30,64,"1,650","6,984","3,321","2,696","13,946","16,010","4,656","1,396","1,835","5,067","4,748",583,455,"1,045","1,185","1,837","6,893","2,509",399,231,951,"5,331",348,"228,575","73,487",...,...,...,...,...,"71,305",...,...,...,...,...,...,...,...,...,...,...,...,...,"144,792","373,367"
5411,Legal services,337,114,"3,295",828,"2,418","4,789","5,711",263,352,332,"1,334","1,458","4,652",225,"1,405","3,228",257,"1,154",986,140,63,361,265,380,"2,999",519,"16,112",379,360,924,"2,746",330,580,109,164,58,195,470,336,"3,527",597,"3,746","2,988","5,485","8,780","11,704","2,206",56,"13,577","1,058","3,044","4,240","11,193","9,106","5,703",387,454,"5,801","13,695","1,396",681,"1,301","1,802","1,100","3,050","2,709","1,913",544,"1,619","8,007","1,055","193,148","90,901",...,...,...,"14,194",...,"11,032","-2,425",...,...,...,...,...,...,...,...,...,...,...,...,"113,702","306,850"
5415,Computer systems design and related services,309,47,"3,661",264,57,"1,582","3,670",216,265,450,"1,481","1,555",500,102,394,"1,788",220,530,765,105,24,262,447,266,480,535,"12,713","1,260",615,845,"3,240",133,"1,128",4,306,40,8,160,358,"2,943",337,"5,058","6,983","8,056","7,230","1,641",766,16,"1,358",836,"4,457","2,952","8,539","14,014","6,859",199,"1,476","4,631","7,218","1,124","1,046",175,610,642,"1,705","2,224","29,835","24,563",915,"12,246","3,609","205,046",...,...,"16,423","169,328",...,...,"14,946","-23,843",...,...,"2,065","6,328",...,...,...,"16,732",...,...,978,"7,017","209,974","415,020"
5412OP,"Miscellaneous professional, scientific, and technical services","1,463",612,"4,623","2,231","9,490","9,433","35,038","1,480","2,030","3,656","6,205","5,540","8,180","1,359","4,129","6,865","2,180","5,167","7,411",722,344,"1,940","1,618","2,591","11,905","3,623","92,308","8,483","6,761","7,168","36,487",946,"2,240","1,099","1,991",439,"1,797","1,965","2,017","21,236","7,847","47,753","19,450","50,947","37,229","14,001","3,607",60,"50,944","12,452","9,930","20,165","90,918","38,551","29,172","2,243","5,068","28,796","32,368","7,650","5,487","4,204","4,798","9,367","25,203","16,444","49,277","12,731","2,586","39,164","15,191","1,018,376","55,629",...,"47,174","314,582","1,054",...,"111,395","-68,435",...,...,...,"61,470",...,...,...,"69,932",...,...,...,"15,675","608,475","1,626,851"
55,Management of companies and enterprises,...,...,"15,701","3,638","1,957",17,"3,879",881,"1,599","1,148","6,325","12,396","24,838","1,411","9,348","5,693",466,"4,165","13,826",863,512,"2,716",875,"2,952","19,958","2,086","70,345",701,"3,065","18,001","19,384",475,1,645,"5,025",237,1,"2,665",534,"8,890",477,"2,558","1,662","3,673","11,390","1,363",598,3,"1,500","4,828","6,927","6,084","17,925",58,"24,990","2,286","4,828","22,102","6,866","3,397","1,631","1,589","1,312","16,088","41,192","8,904",1,...,565,0,...,"462,016",...,...,...,...,...,...,"3,669",...,...,...,...,...,...,...,...,...,...,...,...,...,"3,669","465,685"
561,Administrative and support services,506,55,599,840,"1,985","11,486","6,139",674,"1,261","3,935","6,463","3,405","2,922",622,"3,123","3,673",460,"1,737","3,081",316,461,"1,607","3,229","2,000","4,862","1,946","50,958","2,299","2,944","3,205","14,709","4,032","1,188","3,066","9,434","1,109","1,549","5,405","3,204","10,841","1,544","29,335","11,123","16,454","10,095","4,566",390,156,"60,574","19,053","9,459","23,176","45,908","6,293","33,160","2,377","3,099","26,736","32,846","6,529","3,964","2,316","2,048","4,843","8,680","8,737","17,819","2,813","3,399","23,451","5,704","607,976","48,068",...,...,...,...,...,"1,682","-1,032",...,...,...,...,...,...,...,...,...,...,...,...,"48,718","656,694"
562,Waste management and remediation services,245,10,"1,330",394,483,757,"2,334",138,290,554,449,301,189,102,249,205,146,215,"1,451",113,9,395,107,704,"2,350",355,"2,692",544,498,280,"1,472",24,78,37,348,28,17,241,873,132,25,175,72,582,110,818,646,1,"7,468",620,121,122,"1,205",592,"1,203","7,204",547,"1,950","2,137",849,699,92,629,"1,188","2,310","1,533",801,552,292,"14,963","2,695","73,341","23,330",...,...,...,...,...,59,-123,...,...,...,...,...,...,...,...,...,...,...,...,"23,266","96,607"
61,Educational services,7,0,...,...,...,250,11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,34,27,...,1,"2,411",19,"1,107",...,"3,410",209,45,...,...,...,16,23,...,3,...,76,224,27,11,...,...,...,...,...,...,73,90,...,946,...,"4,467",1,17,...,...,"1,441",257,...,...,"1,077","2,527",103,105,"15,034",7,"34,053","300,213",...,...,...,...,...,"2,597","-1,557",...,...,...,...,...,...,...,...,...,...,...,...,"301,253","335,306"
621,Ambulatory health care services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24,...,51,...,...,"14,651","12,635",62,6,58,1,...,...,28,...,569,...,"4,030",...,"32,113","848,650",...,...,...,...,...,295,-57,...,...,...,...,...,...,...,...,...,...,...,...,"848,887","881,001"
622,Hospitals,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,411,...,...,...,...,...,...,...,...,...,...,...,...,411,"853,564",...,...,...,...,...,934,"-2,337",...,...,...,...,...,...,...,...,...,...,...,...,"852,161","852,572"
623,Nursing and residential care facilities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,818",...,704,...,"2,522","206,871",...,...,...,...,...,62,-16,...,...,...,...,...,...,...,...,...,...,...,...,"206,917","209,438"
624,Social assistance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,157,...,157,"171,101",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"171,101","171,257"
711AS,"Performing arts, spectator sports, museums, and related activities",51,2,0,...,26,145,101,29,29,68,80,68,5,8,51,30,23,48,88,7,2,33,42,55,37,89,"1,705",329,509,44,347,...,234,...,30,5,...,220,7,164,"5,307","21,254",240,"1,011",546,105,206,0,"3,155",289,613,398,"2,953","2,481","1,224",57,"1,005",593,552,177,186,"13,887",632,285,"1,438","1,688","1,580",63,35,857,16,"67,547","61,799",...,...,"4,199",...,...,"1,698",-846,...,...,...,...,...,...,...,...,...,...,...,...,"66,849","134,397"
713,"Amusements, gambling, and recreation industries",22,0,...,1,14,48,88,7,12,13,24,22,2,2,20,13,13,23,22,1,0,6,11,11,10,16,379,3,50,2,284,0,1,...,...,...,...,2,1,26,12,67,149,304,217,69,30,0,...,58,157,192,472,543,441,27,63,314,14,42,56,96,462,258,304,43,362,4,0,649,204,"6,759","162,928",...,...,...,...,...,1,0,...,...,...,...,...,...,...,...,...,...,...,...,"162,928","169,688"
721,Accommodation,1,...,1,13,231,871,420,104,155,221,390,341,37,43,256,156,152,301,329,24,7,110,257,132,196,316,"1,829",11,71,35,158,...,17,...,...,0,7,465,17,388,183,"1,094","1,990","4,054","2,925",887,405,8,"4,926","1,209","1,654","2,436","5,039",604,"3,752",465,569,"2,788",197,323,146,96,109,388,"1,167",437,"1,538",923,103,"2,313",155,"50,948","123,926",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"123,926","174,874"
722,Food services and drinking places,413,41,15,61,455,"1,837",466,158,198,334,474,447,57,77,352,218,186,381,506,54,19,169,232,326,287,360,"4,940",484,826,696,"2,369","8,189",6,17,342,50,34,"1,088",307,381,326,"1,101","2,041","6,717","3,370","1,996","1,078",6,"16,145","2,141","3,202","3,457","13,696","2,698","8,797",471,"1,805","16,449","9,527","7,962","1,940",436,"1,039","5,604","3,195","2,540",625,307,"1,194","9,369",450,"157,541","570,606",...,...,...,...,...,"2,395",...,...,...,...,...,...,...,...,...,...,...,...,...,"573,001","730,542"
81,"Other services, except government",309,347,84,158,972,648,"6,122",348,711,"1,670","1,322",936,635,257,868,412,185,391,"1,811",151,12,"1,181",445,959,"2,929","1,028","23,315","1,094","2,485","1,672","5,914",388,150,47,"11,119",567,678,"2,392","1,054","1,179",217,"4,587","1,687","6,112","2,984","4,035",799,60,"5,309","9,449","1,491",875,"7,260","4,277","7,165","2,191","1,327","6,196","14,938","1,713",869,690,"1,295","1,990","8,545","9,336","4,450",559,"1,711","16,252","3,135","208,453","512,966",...,...,...,...,...,320,"-3,335",...,...,...,...,...,...,...,...,...,...,...,...,"509,951","718,404"
GFGD,Federal general government (defense),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"650,338",...,...,...,...,...,...,...,...,...,...,...,"650,338","650,338"
GFGN,Federal general government (nondefense),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"349,383",...,...,...,...,...,...,...,"349,383","349,383"
GFE,Federal government enterprises,18,3,...,14,...,251,11,...,...,57,159,440,167,288,...,...,...,46,...,2,...,...,73,99,49,...,"17,808",405,494,343,"3,141",4,...,"2,300","2,458",105,87,858,728,760,276,275,"1,258","3,427","13,263",221,...,0,355,"1,031",497,224,"2,590",172,"1,186",118,710,"1,011","1,691",314,456,132,80,995,"3,360","1,315",0,206,34,"1,534",72,"67,973","7,595",...,...,...,...,...,375,-450,...,...,...,...,...,...,...,...,...,...,...,...,"7,520","75,493"
GSLG,State and local general government,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,515,718",...,...,...,"1,515,718","1,515,718"
GSLE,State and local government enterprises,...,4,...,...,...,"2,768",...,53,121,240,191,119,82,51,91,56,36,74,641,53,6,176,39,290,"1,102",136,880,142,218,107,573,2,...,...,77,3,6,72,538,61,25,93,47,333,130,46,...,...,485,784,486,151,880,257,888,72,78,519,606,266,"2,109",34,166,515,"1,249",680,640,592,522,"3,626","1,235","26,517","58,568",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"58,568","85,085"
Used,"Scrap, used and secondhand goods",-50,34,...,...,"1,726","7,725","2,039",...,127,"35,070",514,8,...,...,...,...,...,67,3,31,...,"3,147",...,...,54,65,...,20,...,...,281,-218,...,-66,-115,1,134,"1,999",3,...,97,0,...,...,...,...,...,...,...,10,...,...,...,195,...,...,236,5,...,...,...,-94,753,...,...,"7,067",-32,...,...,...,...,"60,836","121,431","-1,375","-85,780",...,-707,"8,694","45,455","-12,669",...,-4,0,...,...,-365,-76,...,...,"3,122","-8,212",...,"69,513","130,349"
Other,Noncomparable imports and rest-of-the-world adjustment [1],848,57,788,43,456,"1,215","2,043",287,272,"1,122",959,"1,697","2,310",374,"2,052",642,150,543,"1,918",161,37,722,368,"2,012","2,179",734,"5,405",45,518,632,"2,477","12,772",204,"2,281","1,160",16,49,449,67,577,323,"9,400",623,"3,171","22,770","1,059",238,78,"1,068",821,403,"1,239","2,885","1,348","1,420",108,542,...,...,273,...,218,218,728,"1,633","2,244","15,204","3,780","1,112",...,...,"123,545","-73,359",...,...,"5,571",...,...,"161,166","-214,080",...,...,...,...,...,...,...,...,...,...,...,...,"-120,702","2,843"
,Total Intermediate,"255,414","16,186","137,698","57,624","57,572","180,929","520,535","54,580","56,580","203,457","205,094","251,566","126,340","70,641","400,933","163,916","43,308","75,150","675,818","35,834","9,236","126,082","44,640","674,037","489,055","148,773","657,275","58,615","73,842","76,641","271,257","107,361","39,397","36,856","169,379","14,533","11,107","92,291","61,671","106,395","48,910","360,782","103,808","241,927","245,654","391,686","107,227","180,475","489,297","124,853","89,458","101,481","402,289","176,711","229,434","40,745","95,420","294,639","310,907","83,017","73,655","43,013","49,815","86,087","291,915","227,397","268,691","114,324","46,921","621,583","178,444","12,978,185",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
V001,Compensation of employees,"28,304","19,760","34,979","18,912","36,636","69,760","365,906","16,656","23,380","31,220","90,276","88,411","130,664","31,889","56,836","71,522","17,302","46,226","91,888","11,156","8,167","29,123","25,571","17,958","89,665","39,040","457,673","92,380","82,848","84,367","250,524","40,570","22,308","6,554","78,692","17,111","6,754","67,164","35,598","80,666","30,338","111,402","49,172","211,118","203,328","215,125",518,"15,469","68,251","30,531","115,473","192,560","468,622","259,415","317,140","24,137","161,398","435,739","329,833","113,073","84,939","44,167","41,931","67,344","215,192","250,937","248,004","161,051","56,097","1,147,127","91,526","8,575,372",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
V002,"Taxes on production and imports, less subsidies",-542,"1,612","31,790","5,938","2,316","58,601","7,452",661,"1,290","2,351","2,852","3,369","7,063",273,"2,943","2,273",382,"1,686","31,061",598,285,"1,735",785,"2,872","14,626","1,534","192,366","37,247","21,263","37,497","98,439","16,981",34,236,"4,017","1,614","2,531","2,149",658,"3,688","6,490","32,514","2,572","15,647","4,830","23,892",809,"195,204","20,885","16,440","10,846","4,695","11,671","8,366","7,693","3,142","7,937","7,850","9,040","5,149","1,616","7,349","10,089","22,701","39,746","18,897",...,...,"-5,124",...,"-17,394","1,078,078",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
V003,Gross operating surplus,"120,990","9,334","158,149","42,136","29,666","152,289","181,584","8,501","18,044","32,191","44,857","61,206","90,185","19,990","55,987","53,105","4,739","33,531","97,107","4,213","1,555","22,296","12,085","138,308","200,682","27,138","347,713","33,633","29,727","12,332","143,100","30,503","17,402","6,376","45,686","17,734","16,049","25,629","10,961","105,484","45,962","228,430","65,990","292,926","24,659","167,887","8,705","1,335,515","310,661","126,792","91,158","55,487","241,280","34,354","107,296","15,541","44,856","131,026","59,599","7,741","9,469","50,239","18,002","38,846","67,129","78,800","159,606","95,001","1,019","178,351","45,994","6,600,517",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Total Value Added,"148,752","30,705","224,918","66,986","68,618","280,650","554,942","25,818","42,714","65,762","137,985","152,985","227,912","52,152","115,766","126,900","22,423","81,443","220,056","15,967","10,007","53,154","38,441","159,138","304,973","67,712","997,752","163,260","133,838","134,196","492,063","88,054","39,744","13,166","128,395","36,459","25,334","94,942","47,217","189,838","82,790","372,346","117,734","519,691","232,817","406,904","10,032","1,546,187","399,797","173,763","217,477","252,742","721,573","302,135","432,129","42,820","214,191","574,615","398,472","125,963","96,024","101,755","70,022","128,891","322,066","348,633","407,610","256,052","51,992","1,325,478","120,125",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"16,253,966",...
,Total Industry Output,"404,166","46,892","362,616","124,610","126,190","461,579","1,075,477","80,398","99,293","269,219","343,079","404,551","354,252","122,793","516,699","290,816","65,731","156,593","895,874","51,801","19,243","179,237","83,081","833,175","794,028","216,485","1,655,027","221,875","207,679","210,837","763,319","195,414","79,141","50,022","297,775","50,992","36,442","187,233","108,888","296,233","131,700","733,128","221,542","761,618","478,471","798,591","117,259","1,726,663","889,093","298,616","306,936","354,222","1,123,862","478,846","661,562","83,565","309,611","869,254","709,379","208,980","169,679","144,768","119,836","214,978","613,982","576,030","676,302","370,377","98,913","1,947,061","298,569",...,"11,047,363","479,435","983,401","655,691","432,015","71,212","1,981,560","-2,533,178","650,338","8,103","85,228","70,507","349,383","14,478","18,732","90,241","1,515,718","264,952","39,176","29,611",...,"29,232,151"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Consists of noncomparable imports in the intermediate section of the use table and noncomparable imports and the rest-of-the-world adjustment in the final use section of the use table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. Selected data with zero values are not shown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. Detail may not add to total due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
