,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
332,1764,201,6608,1481,1165,456,86518,2645,1958,6102,44216,36157,8647,10581,28438,15932,5199,4912,17867,464,38,7365,977,811,11650,7953,3015,1799,162,399,2313,951,126,761,1108,799,1734,24,13910,1785,182,155,0,24,12,1919,1468,43,2058,6581,787,2632,2797,407,548,762,30,2005,58,1031,955,2250,5773,5987,2291,1056,4493,4074
333,3365,225,7773,4099,5018,1377,32709,389,124,1766,5480,43711,364,2002,32087,4498,102,1951,3620,25,9,1216,1210,73,4532,1781,3818,704,8,289,54,245,98,195,3064,1786,216,67,2022,796,46,61,13,0,10,91,1746,39,1222,3127,172,3146,3700,1628,500,556,216,160,25,102,95,540,8268,1116,330,25,4108,1388
334,63,1,54,45,357,96,7763,851,492,1666,5399,8611,43051,3765,16730,18462,911,1946,3699,305,12,724,719,303,4223,1868,12058,3082,3,130,3,140,2,19,131,197,2497,560,20238,4498,515,680,24,600,0,304,133,1615,6835,7219,8248,3280,875,863,7052,672,279,318,13,88,210,90,6065,17597,4795,1,1639,1809
335,563,149,150,49,283,19,36438,271,70,2033,3011,14477,3282,10759,6410,2367,100,878,1237,34,1,479,67,81,1009,794,564,270,3,153,38,52,72,5,29,316,1,0,5163,394,106,47,7,0,2,506,452,2,1960,5443,95,2528,586,313,34,490,524,367,31,241,495,517,2401,1018,3147,58,2054,2594
3361MV,697,94,913,1151,650,39,3101,1429,462,897,1616,18468,1143,741,176781,3458,479,855,5633,77,0,1441,171,142,1744,567,6205,3100,0,48,0,4203,128,2,143,2544,838,62,1191,148,40,14,0,0,0,0,1578,0,37,2807,480,5766,1111,272,342,545,85,1647,23,58,130,416,22048,4421,119,3151,4731,1266
3364OT,0,86,0,8,0,0,29,42,0,0,49,219,0,0,473,64076,0,0,0,0,0,0,0,0,0,0,5,0,883,1221,1341,4,7,0,1062,0,0,0,3,0,0,0,0,0,0,0,0,0,0,238,5,25,23,0,0,0,0,4,0,8,0,0,97,26670,1580,2,0,45
337,0,0,0,0,0,0,15737,261,0,0,0,410,140,1,31,182,3675,262,0,0,0,0,0,0,0,283,432,1056,0,0,3,0,0,0,13,0,0,0,198,391,0,0,0,0,4693,23,0,6,1,215,5,2,0,0,400,57,1,110,178,472,4,231,209,0,0,2981,12,1001
339,154,2,29,38,28,0,1012,21,141,58,76,3328,3,725,2713,101,12,9373,39,14,181,1,6,2,822,124,1637,1641,0,1,0,6,13,2,278,196,11,4,193,124,207,82,11,0,0,259,90,84,64,1668,15,2002,519,439,22384,23352,1357,1687,132,578,54,637,2405,246,493,0,6809,53
311FT,44910,755,0,0,0,0,0,32,443,12,0,0,0,0,0,0,0,10,218529,37,1048,584,745,801,10208,203,2252,2373,881,1,442,26,0,0,59,0,96,15,0,68,0,0,0,0,0,0,0,0,0,5829,150,0,0,8042,29,10616,7623,9743,951,7444,8782,70996,1388,4450,198,931,57858,0
313TT,369,149,0,2,0,0,1916,430,317,0,2,759,1,0,3549,1484,3229,2134,161,10171,1924,4618,270,35,4,3263,1920,2395,0,0,410,12,0,6,131,13,5,124,16,11,0,0,0,0,0,70,294,0,0,319,8,131,102,41,40,617,1732,728,0,511,1410,253,1650,1390,515,3,2125,16
315AL,21,0,0,0,0,1,0,0,1,0,0,0,0,0,2950,0,0,161,26,462,3167,0,2113,17,0,2,1140,755,0,0,0,0,0,0,0,0,68,11,1125,1,0,0,0,0,0,0,88,0,0,106,16,415,215,79,262,311,0,1667,75,20,11,86,831,163,36,67,3703,61
322,365,0,61,183,76,36,2285,813,1662,1855,1991,2477,794,1410,4574,643,1397,2100,22771,407,10,51968,12522,329,7110,5545,6490,1666,19,102,15,139,1431,120,4101,353,3229,101,575,237,1370,399,116,4,0,882,884,548,431,3227,1202,4192,296,268,1755,1888,758,856,64,175,2295,3102,1271,181,2669,57,13769,39
323,29,0,11,5,0,4,33,5,0,0,30,11,0,4,6,0,0,0,85,0,8,0,1642,3,435,0,10497,3002,6,28,0,186,33,15,407,24,7181,614,664,4556,999,1703,1205,0,0,73,550,1023,278,5233,1039,2876,17,1045,2251,2384,192,1873,781,193,747,662,1522,996,2584,21,11134,402
324,11315,1005,8172,10261,5386,27797,59401,1259,1224,4326,1267,1200,288,1221,777,233,443,1673,4441,200,14,2339,860,37089,17115,1029,8175,2479,42296,10175,9085,70694,3165,107,16025,431,364,94,787,633,8653,3773,19,1607,9,6208,3696,58,872,2679,1932,4635,2056,1050,1406,5574,1224,862,183,1121,1398,3945,4637,28982,1856,4633,110105,24873
325,35258,3565,7842,3187,2115,2102,11320,2902,4919,2563,7300,3896,2743,3290,11534,1569,2274,7806,7456,13334,138,12158,5268,25908,277734,69621,3777,952,1,310,11,201,5,6,176,760,1029,175,871,560,123,161,17,0,35,12891,128,418,238,16365,1651,7573,1733,548,29819,18454,3098,535,142,531,65,489,4263,1560,3668,185,30238,3470
326,1400,113,85,1812,875,29,31759,907,1324,866,2608,14759,2812,2847,23047,4325,4486,6114,20857,430,45,3779,3645,571,14345,21704,12260,3899,349,8,2,874,13,167,4165,499,616,113,5757,386,293,134,125,1,4,458,2126,221,1005,6093,246,2052,402,616,8464,3144,1355,1855,32,226,149,6218,6566,2304,1248,21,9436,2624
42,1435,24,109,82,0,1062,21,254,292,1283,864,2001,779,1734,521,64,377,2269,3307,186,40,1417,122,90,4888,1648,34166,6277,52,0,0,39,0,2,0,0,599,27,1759,69,12,37,23,6,0,0,7095,0,128,0,0,29,68,12,279,111,0,0,0,99,0,19,32,0,0,1,37,0
4A0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
481,0,0,2,22,387,881,421,172,244,337,611,501,57,59,392,255,250,385,523,36,11,171,300,214,287,428,5814,131,170,24,98,1091,7,3,936,81,540,247,1147,1792,3789,3722,672,556,7,5505,1127,1488,2538,5056,348,4302,493,743,2943,299,461,517,133,181,289,1107,631,6996,3741,318,3358,75
482,0,0,0,0,0,131,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69,20,0,52,0,3806,0,2,286,30,0,0,245,1,8,7,55,0,0,0,7,39,17,322,1,89,0,0,13,14,0,0,0,0,0,0,4,130,63,517,253,0
483,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,490,40,7,2,151,3,35,0,5,1,0,0,0,11,1744,90,658,116,0
484,87,0,0,0,85,0,0,7,4,3,50,19,139,1,6,4,4,17,5,4,2,8,4,11,13,9,2105,3096,520,67,115,4166,14,5,2027,150,77,23,2,103,0,0,17,2,0,0,80,41,18,621,1,96,20,10,65,73,12,33,9,1,16,127,101,1215,17,338,146,8
485,0,2,1,5,95,329,344,46,66,94,164,139,15,17,108,65,64,124,138,8,3,47,77,55,82,112,642,49,1,367,0,0,0,1,158,5,135,60,651,679,1418,1018,470,140,7,1755,428,633,842,2797,111,1544,121,266,1293,1065,559,119,1080,44,97,391,158,33,5,23,10679,646
486,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,0,74,21,888,7,5718,0,831,890,183,95,12,0,3,8,0,578,189,404,84,0,485,460,647,145,416,36985,5740,20775,1317,6655,23924,191,478,25422,2141,1705,557,191,2498,445,2730,273,0,0,0,1823,781,380,6430,175,1855,702,311,1405,1728,297,840,447,562,113,354,1143,2,109,761,510,3276
493,356,0,7,317,0,628,0,127,119,91,945,430,2682,66,134,87,89,336,143,109,45,155,271,62,300,197,26772,23138,19,2,478,3096,58,23,671,8581,776,185,481,901,0,0,99,0,0,57,422,246,122,916,4,1331,86,285,714,749,153,248,158,86,969,1523,704,224,339,0,3317,89
511,57,1,21,0,3,126,348,18,2,17,54,37,66,4,15,122,9,36,6,0,0,5,63,5,61,6,1462,652,6,48,0,19,1,0,165,141,14893,32,624,1190,307,725,111,38,0,254,832,1198,521,2423,1575,916,6,656,1600,756,106,1332,20,40,101,81,526,1685,1769,976,7731,169
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,87,3,0,0,1,0,56,4,0,23,19104,33236,345,12,15,0,0,0,47,665,7,12,1224,129,26,0,60,23,5,419,459,83,14,50,814,586,1505,527,45,192,0
513,531,46,1483,227,754,1472,5473,271,784,425,993,1032,521,216,453,439,224,444,922,78,26,352,463,132,972,418,16288,6316,344,183,88,1173,315,486,1714,629,2916,406,90767,7167,8945,6437,2661,1456,19,8927,1982,5265,2684,9049,4800,7299,487,2169,5421,3224,934,1101,337,925,3562,5072,4203,7037,6295,1147,31753,1547
514,0,0,45,4,26,1095,647,395,577,640,1301,1210,527,269,245,729,309,470,808,114,46,480,279,72,587,369,3434,3136,100,1,0,38,13,18,291,117,2543,73,3371,6221,6117,2340,738,964,1,419,7183,2436,1699,8643,3628,9411,445,2948,1144,2109,263,901,281,396,445,2187,4181,11542,5452,501,7448,2284
521CI,2352,314,2621,1162,722,8593,5203,623,835,1382,1783,2192,2102,971,2173,1027,751,1575,3588,324,188,1121,687,1187,4112,1356,25255,11768,1330,9170,643,1183,3375,662,1372,404,2805,1605,10343,1256,41552,29487,2274,2010,109590,30980,10206,2445,2490,11778,20089,5954,543,4578,3562,4014,2286,1161,724,1722,4945,5210,12871,1,1381,5394,14006,3017
523,221,20,2383,847,3137,607,1498,35,47,1826,1865,1650,100,358,1252,692,590,1042,112,7,2,12,32,68,26,59,2175,724,2515,505,4318,284,361,63,1032,28,315,185,216,126,20092,31398,1449,72384,1,3700,939,925,425,2417,5508,1319,43,723,1372,3990,476,1045,221,72,2267,2393,8335,2,10,81,22407,1392
524,3293,1005,5251,1567,6496,606,464,251,987,1040,1124,1762,585,913,1000,1029,466,642,3415,463,223,458,128,238,2383,714,20771,4111,523,23,465,8607,1150,536,1613,2168,418,989,1716,663,5646,12948,312494,5004,492,27651,5187,3449,935,6332,247,4253,764,1269,9030,41560,1800,3089,1179,993,1187,2718,2595,0,1022,1815,1489,6284
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6225,8273,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1429,0
HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,28472,71,886,85,190,2741,10065,697,721,400,2995,1310,2222,346,1090,3072,1505,949,1802,595,349,858,1287,108,2494,1689,53390,55260,410,121,243,3274,417,309,2426,14445,5751,2985,15428,5495,19469,17814,16586,625,546,105099,8944,19919,4682,36968,17949,11268,1764,28630,46343,28378,21090,15053,6887,9916,1462,39856,39752,3692,9350,1388,37446,3653
532RL,3164,149,4355,1690,3681,1057,13982,255,701,953,1938,1905,533,643,2179,1585,261,1721,3050,112,56,740,545,1233,3633,853,24632,6408,8234,3565,346,6998,605,157,1640,907,2492,2309,10833,6120,5088,6108,2687,30,64,1650,6984,3321,2696,13946,16010,4656,1396,1835,5067,4748,583,455,1045,1185,1837,6893,2509,399,231,951,5331,348
5411,337,114,3295,828,2418,4789,5711,263,352,332,1334,1458,4652,225,1405,3228,257,1154,986,140,63,361,265,380,2999,519,16112,2746,330,580,109,164,58,195,470,336,3527,597,3746,2988,5485,8780,11704,2206,56,13577,1058,3044,4240,11193,9106,5703,387,454,5801,13695,1396,681,1301,1802,1100,3050,2709,1913,544,1619,8007,1055
5415,309,47,3661,264,57,1582,3670,216,265,450,1481,1555,500,102,394,1788,220,530,765,105,24,262,447,266,480,535,12713,3240,133,1128,4,306,40,8,160,358,2943,337,5058,6983,8056,7230,1641,766,16,1358,836,4457,2952,8539,14014,6859,199,1476,4631,7218,1124,1046,175,610,642,1705,2224,29835,24563,915,12246,3609
5412OP,1463,612,4623,2231,9490,9433,35038,1480,2030,3656,6205,5540,8180,1359,4129,6865,2180,5167,7411,722,344,1940,1618,2591,11905,3623,92308,36487,946,2240,1099,1991,439,1797,1965,2017,21236,7847,47753,19450,50947,37229,14001,3607,60,50944,12452,9930,20165,90918,38551,29172,2243,5068,28796,32368,7650,5487,4204,4798,9367,25203,16444,49277,12731,2586,39164,15191
55,0,0,15701,3638,1957,17,3879,881,1599,1148,6325,12396,24838,1411,9348,5693,466,4165,13826,863,512,2716,875,2952,19958,2086,70345,19384,475,1,645,5025,237,1,2665,534,8890,477,2558,1662,3673,11390,1363,598,3,1500,4828,6927,6084,17925,58,24990,2286,4828,22102,6866,3397,1631,1589,1312,16088,41192,8904,1,0,565,0,0
561,506,55,599,840,1985,11486,6139,674,1261,3935,6463,3405,2922,622,3123,3673,460,1737,3081,316,461,1607,3229,2000,4862,1946,50958,14709,4032,1188,3066,9434,1109,1549,5405,3204,10841,1544,29335,11123,16454,10095,4566,390,156,60574,19053,9459,23176,45908,6293,33160,2377,3099,26736,32846,6529,3964,2316,2048,4843,8680,8737,17819,2813,3399,23451,5704
562,245,10,1330,394,483,757,2334,138,290,554,449,301,189,102,249,205,146,215,1451,113,9,395,107,704,2350,355,2692,1472,24,78,37,348,28,17,241,873,132,25,175,72,582,110,818,646,1,7468,620,121,122,1205,592,1203,7204,547,1950,2137,849,699,92,629,1188,2310,1533,801,552,292,14963,2695
61,7,0,0,0,0,250,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,27,0,1,2411,3410,209,45,0,0,0,16,23,0,3,0,76,224,27,11,0,0,0,0,0,0,73,90,0,946,0,4467,1,17,0,0,1441,257,0,0,1077,2527,103,105,15034,7
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,51,0,0,14651,12635,62,6,58,1,0,0,28,0,569,0,4030,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,0,704,0
624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0
711AS,51,2,0,0,26,145,101,29,29,68,80,68,5,8,51,30,23,48,88,7,2,33,42,55,37,89,1705,347,0,234,0,30,5,0,220,7,164,5307,21254,240,1011,546,105,206,0,3155,289,613,398,2953,2481,1224,57,1005,593,552,177,186,13887,632,285,1438,1688,1580,63,35,857,16
713,22,0,0,1,14,48,88,7,12,13,24,22,2,2,20,13,13,23,22,1,0,6,11,11,10,16,379,284,0,1,0,0,0,0,2,1,26,12,67,149,304,217,69,30,0,0,58,157,192,472,543,441,27,63,314,14,42,56,96,462,258,304,43,362,4,0,649,204
721,1,0,1,13,231,871,420,104,155,221,390,341,37,43,256,156,152,301,329,24,7,110,257,132,196,316,1829,158,0,17,0,0,0,7,465,17,388,183,1094,1990,4054,2925,887,405,8,4926,1209,1654,2436,5039,604,3752,465,569,2788,197,323,146,96,109,388,1167,437,1538,923,103,2313,155
722,413,41,15,61,455,1837,466,158,198,334,474,447,57,77,352,218,186,381,506,54,19,169,232,326,287,360,4940,2369,8189,6,17,342,50,34,1088,307,381,326,1101,2041,6717,3370,1996,1078,6,16145,2141,3202,3457,13696,2698,8797,471,1805,16449,9527,7962,1940,436,1039,5604,3195,2540,625,307,1194,9369,450
81,309,347,84,158,972,648,6122,348,711,1670,1322,936,635,257,868,412,185,391,1811,151,12,1181,445,959,2929,1028,23315,5914,388,150,47,11119,567,678,2392,1054,1179,217,4587,1687,6112,2984,4035,799,60,5309,9449,1491,875,7260,4277,7165,2191,1327,6196,14938,1713,869,690,1295,1990,8545,9336,4450,559,1711,16252,3135
GFGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE,18,3,0,14,0,251,11,0,0,57,159,440,167,288,0,0,0,46,0,2,0,0,73,99,49,0,17808,3141,4,0,2300,2458,105,87,858,728,760,276,275,1258,3427,13263,221,0,0,355,1031,497,224,2590,172,1186,118,710,1011,1691,314,456,132,80,995,3360,1315,0,206,34,1534,72
GSLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE,0,4,0,0,0,2768,0,53,121,240,191,119,82,51,91,56,36,74,641,53,6,176,39,290,1102,136,880,573,2,0,0,77,3,6,72,538,61,25,93,47,333,130,46,0,0,485,784,486,151,880,257,888,72,78,519,606,266,2109,34,166,515,1249,680,640,592,522,3626,1235
