,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
482,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,37,19,0,14,0,2526,0,1,103,17,0,0,158,1,10,11,89,0,0,0,3,34,15,212,1,72,0,0,9,7,0,0,0,0,0,0,1,47,33,116,183,0
483,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,66,4,2,157,2,25,0,2,1,0,0,0,8,2568,157,1205,253,0
484,97,0,0,0,78,0,0,7,5,3,55,21,150,1,9,3,5,28,7,6,5,9,4,7,27,11,1475,5997,309,47,43,6829,55,7,3176,86,90,26,1,42,0,0,25,1,0,0,65,29,17,390,1,74,17,9,44,40,10,19,9,1,21,194,159,744,12,250,119,6
485,0,1,0,5,64,167,326,73,95,95,202,158,64,16,115,55,88,175,180,12,6,49,108,40,88,119,342,49,1,199,0,0,0,2,160,3,171,69,360,329,1308,988,693,68,0,1515,389,445,713,1862,103,1087,103,226,835,523,314,71,1497,46,58,305,121,36,4,10,10599,312
486,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,0,91,9,865,4,4174,0,1059,848,156,71,8,0,2,5,0,186,205,444,90,0,368,570,397,128,349,28282,7445,12476,515,2379,35843,771,725,28695,1361,2755,903,134,1539,761,4123,783,0,0,0,2444,761,473,8734,330,2136,640,422,1453,1384,340,735,664,297,92,417,1331,2,44,483,911,3067
493,543,0,3,252,0,763,0,50,51,35,366,200,1009,29,67,26,41,186,75,56,31,57,234,15,201,90,12831,17117,9,1,369,3004,67,28,513,4946,861,241,293,433,0,0,200,0,0,40,335,194,129,855,6,943,83,153,544,445,123,184,155,70,611,924,536,184,343,0,2955,55
511,71,1,4,0,2,114,254,33,6,14,51,30,536,8,22,69,9,76,13,0,0,3,125,1,123,4,774,627,9,27,0,21,1,0,75,89,26238,54,387,437,374,767,103,33,0,265,1059,536,380,2650,1516,894,8,521,875,374,113,1332,16,55,99,134,520,1052,777,111,6918,117
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,2,0,0,1,0,80,4,0,43,20930,28636,127,14,19,0,0,0,55,280,6,14,979,226,28,0,69,21,3,61,251,191,8,32,471,674,1537,286,36,229,0
513,455,36,397,177,362,1145,6854,435,977,416,1273,1439,2120,370,654,640,1144,758,1442,180,112,372,599,59,1483,577,12339,8120,323,94,85,1422,353,409,781,329,3507,556,84315,3559,10532,10019,3035,491,1,11598,2330,4221,2771,9854,6610,7700,495,2590,5538,2593,937,928,474,869,1081,4234,4977,4635,4566,796,28728,837
514,0,0,7,2,12,913,452,568,708,539,1367,1265,687,283,206,445,361,553,947,164,99,447,336,37,840,299,1720,2381,54,1,0,27,11,23,154,40,3020,76,1912,1141,4826,2379,725,329,0,321,3036,1226,1346,4755,2793,5516,294,1254,577,882,145,288,189,290,206,1269,1720,7677,3246,312,5500,1542
521CI,2341,431,1737,594,578,7108,7716,694,841,1412,1697,1768,2262,869,2658,788,736,1454,3091,418,386,795,747,1252,3493,1384,17327,10462,1234,4492,425,1371,1935,329,808,280,2946,2589,9306,788,73757,37527,4559,3768,81343,26040,9607,2342,2299,9072,14896,4526,498,2271,3765,2987,1703,963,741,2124,3609,4692,12020,0,1430,3623,6976,2408
523,216,17,732,1835,4539,1317,3662,41,91,1956,2412,2228,334,429,1536,849,901,1810,181,12,4,13,45,53,33,63,2180,1315,2974,888,3610,472,483,114,716,17,590,335,223,126,49688,75992,2303,80851,4,6766,1942,1345,713,3152,6546,1957,69,590,2011,5828,684,1828,326,147,2685,2309,12637,4,34,83,21982,1790
524,3944,1194,2075,1164,4448,799,333,279,991,752,994,1537,1837,932,1407,2471,449,892,2994,589,674,359,178,116,2860,674,14327,4839,501,19,1087,14881,2737,264,1600,1229,689,1293,997,404,7187,16342,199584,1872,1588,29307,6081,3682,1380,8115,315,5039,1027,1019,20438,25160,2564,1880,1387,1134,1184,3417,3186,0,510,716,1354,4007
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5250,5662,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,963,0
HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,20445,60,277,67,149,2897,10700,707,767,288,1947,1350,2872,413,1588,4567,1529,985,1284,621,805,460,972,203,3398,1198,33215,52462,175,87,273,5026,938,255,3530,6412,5340,3631,12204,2520,20938,18440,11552,589,2598,116621,9509,16036,9069,47967,18317,14601,2145,26807,46444,17723,20372,11044,10363,12186,1340,34052,40542,4291,8981,1412,38652,3303
532RL,3423,164,2384,1545,3315,1213,15231,467,1010,954,2458,2421,2106,674,2431,1554,391,2441,3918,180,211,752,907,551,4007,1091,14352,6669,7324,2415,1022,7513,1136,151,2244,447,3502,2132,8070,2894,5732,6408,3282,21,1,4982,5441,1995,2699,11266,16433,4572,1249,2855,6587,4928,685,427,1661,1178,1381,5856,3125,400,241,351,9260,269
5411,326,117,1604,579,2145,5144,5549,282,401,327,760,1418,3094,277,1591,4191,302,1231,882,156,59,268,416,122,3729,391,7915,2801,226,506,81,132,61,297,330,180,3219,739,2728,1401,4948,9106,9728,1335,280,12977,924,1942,4195,10049,9329,4410,351,404,4349,7847,1013,430,853,1406,845,2051,2237,1592,408,1312,7529,877
5415,283,42,1272,105,25,1360,2764,277,313,391,1241,1622,1718,114,395,953,241,607,778,152,86,224,636,64,619,505,4968,2309,69,586,2,201,36,10,72,116,2505,353,2764,2822,7308,5946,1410,305,58,993,559,2558,2223,6033,10751,4678,136,1133,2608,3194,620,522,145,482,329,1088,1489,17854,13219,531,8382,2773
5412OP,1381,597,1536,2024,4705,10949,39070,2390,2996,3843,7420,6407,10287,1755,4601,8284,3117,8046,9043,1173,1145,2104,2887,888,18504,4114,53420,38864,781,1850,1539,1848,689,1704,1473,948,20341,12061,35652,7255,43157,32093,17365,2560,286,42578,8864,8972,20015,108439,41734,25550,2066,5370,22137,18306,5449,3289,6648,8015,6642,22378,15939,42934,10104,1741,37750,10478
55,0,0,5413,3259,1547,19,6234,541,1181,813,4551,8652,16243,1012,8532,5658,379,3657,12496,784,547,1817,911,1260,22957,1584,48316,23628,405,2,533,5217,342,1,2278,370,7929,670,3074,1113,4660,11560,1649,365,0,1781,5733,6270,7069,19438,56,22928,2713,3271,20178,5095,3134,1238,2015,1626,16434,42003,10037,1,0,773,0,0
561,540,62,273,664,1409,5447,7137,1063,1842,4098,8017,3376,7822,748,3184,3849,797,2297,3804,652,1287,1792,3882,783,6011,2038,32157,16534,4001,1109,2438,3165,1265,1269,3448,913,6270,1704,6182,3534,17358,9110,6983,274,393,122554,17231,8226,15173,32928,8327,16668,1989,2656,16782,14644,3633,2060,2844,2132,4354,8543,7240,18897,2880,2240,26556,4174
562,290,23,378,392,293,886,2577,222,468,621,651,430,676,160,612,391,338,369,2140,241,54,498,208,319,4231,527,1989,1516,21,52,36,448,39,26,201,359,153,33,150,50,743,141,570,401,0,7408,492,126,139,1058,700,1279,7402,562,1450,1326,666,434,124,651,959,2124,1502,667,445,260,14727,1720
61,55,0,0,0,0,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,1,465,1428,4,14,0,0,0,6,3,0,1,0,356,26,18,10,0,0,0,0,0,0,14,20,0,101,0,2767,6,91,0,0,1229,168,0,0,559,1666,86,80,6691,4
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,45,0,0,7736,9533,49,1,68,1,0,0,22,0,501,0,2206,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,0,401,0
624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0
711AS,41,2,0,0,16,153,67,38,40,68,97,75,16,8,44,25,27,58,115,13,4,34,57,42,39,92,929,379,0,175,0,27,5,0,142,4,176,5904,15189,99,935,578,130,103,0,2964,284,475,321,2239,2460,1000,46,513,378,323,132,109,12316,561,251,1202,1145,1295,47,26,677,33
713,53,0,0,1,10,119,215,15,24,16,43,47,20,4,53,28,40,78,46,1,0,7,16,19,13,18,521,503,0,1,0,0,0,0,3,1,65,32,76,179,699,522,267,36,0,0,138,282,405,872,1076,771,57,105,525,20,68,85,123,495,238,358,79,1027,10,0,1472,183
721,3,0,1,14,154,830,263,159,218,220,470,368,144,40,253,125,199,404,420,40,20,113,362,90,202,334,1043,267,0,14,0,0,0,11,263,10,477,207,677,922,3564,2699,1300,186,0,4191,1121,1115,2005,4011,632,2704,430,405,1797,106,201,84,88,99,269,862,321,1085,675,23,3072,120
722,428,36,7,48,296,1861,271,235,289,346,591,521,229,77,368,198,253,554,659,89,67,174,328,233,337,386,2652,2263,5917,4,11,224,61,35,856,190,510,399,733,1103,7151,3444,3343,544,0,15033,2172,2475,3210,11751,2577,7076,437,1268,12164,5618,5940,1248,477,1167,2807,2899,2114,494,212,970,7242,349
81,360,449,42,132,683,2561,5995,511,1104,1969,1565,1051,1831,387,1209,512,302,631,2511,301,73,1181,617,361,3518,1146,14267,6153,456,127,76,6570,1296,619,1885,475,1155,290,3547,786,13585,5520,4580,423,80,16908,4314,1043,1637,7444,5295,5838,1656,2482,5004,8637,1507,565,1057,1450,1586,7673,7767,2939,467,1792,15762,1376
GFGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE,33,4,0,15,0,444,10,0,0,76,243,705,481,391,0,0,0,100,0,3,0,0,103,123,39,0,15279,4851,5,0,2634,3228,178,272,1033,448,1428,520,223,941,1840,6105,571,0,0,410,1515,596,366,3833,427,1702,176,685,1251,1593,420,483,233,123,1081,4561,1761,0,194,21,2341,51
GSLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE,0,6,0,0,0,1887,0,72,135,180,194,119,184,71,174,101,60,94,616,75,25,144,53,77,1280,138,362,391,1,0,0,88,3,6,34,202,49,21,53,19,262,106,53,0,0,343,576,296,107,498,197,578,49,54,298,261,146,1008,28,109,267,912,443,399,322,472,2504,839
